Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount
1,2023-11-24,CUST001,male,34.0,beauty,3,50,150
2,2023-02-27,CUST002,female,26.0,clothing,2,500,1000
3,2023-01-13,CUST003,male,50.0,electronics,1,30,30
4,2023-05-21,CUST004,male,37.0,clothing,1,500,500
5,2023-05-06,CUST005,male,30.0,beauty,2,50,100
6,2023-04-25,CUST006,female,45.0,beauty,1,30,30
7,2023-03-13,CUST007,male,46.0,clothing,2,25,50
8,2023-02-22,CUST008,male,30.0,electronics,4,25,100
9,2023-12-13,CUST009,male,63.0,electronics,2,300,600
10,2023-10-07,CUST010,female,52.0,clothing,4,50,200
11,2023-02-14,CUST011,male,23.0,clothing,2,50,100
12,2023-10-30,CUST012,male,35.0,beauty,3,25,75
13,2023-08-05,CUST013,male,22.0,electronics,3,500,1500
14,2023-01-17,CUST014,male,64.0,clothing,4,30,120
15,2023-01-16,CUST015,female,42.0,electronics,4,500,2000
16,2023-02-17,CUST016,male,19.0,clothing,3,500,1500
17,2023-04-22,CUST017,female,27.0,clothing,4,25,100
18,2023-04-30,CUST018,female,47.0,electronics,2,25,50
19,2023-09-16,CUST019,female,62.0,clothing,2,25,50
20,2023-11-05,CUST020,male,22.0,clothing,3,300,900
21,2023-01-14,CUST021,female,50.0,beauty,1,500,500
22,2023-10-15,CUST022,male,18.0,clothing,2,50,100
23,2023-04-12,CUST023,female,35.0,clothing,4,30,120
24,2023-11-29,CUST024,female,49.0,clothing,1,300,300
25,2023-12-26,CUST025,female,64.0,beauty,1,50,50
26,2023-10-07,CUST026,female,28.0,electronics,2,500,1000
27,2023-08-03,CUST027,female,38.0,beauty,2,25,50
28,2023-04-23,CUST028,female,43.0,beauty,1,500,500
29,2023-08-18,CUST029,female,42.0,electronics,1,30,30
30,2023-10-29,CUST030,female,39.0,beauty,3,300,900
31,2023-05-23,CUST031,male,44.0,electronics,4,300,1200
32,2023-01-04,CUST032,male,30.0,beauty,3,30,90
33,2023-03-23,CUST033,female,50.0,electronics,2,50,100
34,2023-12-24,CUST034,female,51.0,clothing,3,50,150
35,2023-08-05,CUST035,female,58.0,beauty,3,300,900
36,2023-06-24,CUST036,male,52.0,beauty,3,300,900
37,2023-05-23,CUST037,female,18.0,beauty,3,25,75
38,2023-03-21,CUST038,male,38.0,beauty,4,50,200
39,2023-04-21,CUST039,male,23.0,clothing,4,30,120
40,2023-06-22,CUST040,male,45.0,beauty,1,50,50
41,2023-02-22,CUST041,male,34.0,clothing,2,25,50
42,2023-02-17,CUST042,male,22.0,clothing,3,300,900
43,2023-07-14,CUST043,female,48.0,clothing,1,300,300
44,2023-02-19,CUST044,female,22.0,clothing,1,25,25
